sku,name,price,description,is_in_stock,ADVERTISER CATEGORY
RJPCRP.C6.C6.C6-6,Run Jump &rsquo;n Play Crop-Carbon 6-6,88,RJP Crop in Carbon 6.,1,yoga apparel
RJPCRP.C6.C6.C6-8, Run Jump &rsquo;n Play Crop-Carbon 6-8,88,RJP Crop in Carbon 6.,1,yoga apparel
RJPCRP.C6.C6.C6-10,Run Jump &rsquo;n Play Crop-Carbon 6-10,88,RJP Crop in Carbon 6.,1,yoga apparel
RJPCRP.C6.C6.C6-12, Run Jump &rsquo;n Play Crop-Carbon 6-12,88,RJP Crop in Carbon 6.,0,yoga apparel
RJPCRP.TPNK.TPNK.TPNK-2,Run Jump &rsquo;n Play Crop-Tickled Pink-2,40,RJP Crop in Tickled Pink,0,yoga apparel
RJPCRP.TPNK.TPNK.TPNK-4,Run Jump &rsquo;n Play Crop-Tickled Pink-4,40,RJP Crop in Tickled Pink.,0,yoga apparel
RJPCRP.TPNK.TPNK.TPNK-6,Run Jump &rsquo;n Play Crop-Tickled Pink-6,40,RJP Crop in Tickled Pink.,0,yoga apparel
RJPCRP.TPNK.TPNK.TPNK-8,Run Jump &rsquo;n Play Crop-Tickled Pink-8,40,RJP Crop in Tickled Pink.,0,yoga apparel
RJPCRP.TPNK.TPNK.TPNK-10,Run Jump &rsquo;n Play Crop-Tickled Pink-10,40,RJP Crop in Tickled Pink.,1,yoga apparel
RJPCRP.TPNK.TPNK.TPNK-12,Run Jump &rsquo;n Play Crop-Tickled Pink-12,40,RJP Crop in Tickled Pink.,1,yoga apparel
UMBRA,U & Me Bra,49,"Sexy? Check. Functional? Check. Now your twins can both get the extra-credit they deserve. This super sexy, super sculpting sports bra defines and highlights your assets, so you can go from street to studio in a hot second. ",1,yoga apparel
TTLEG,Tippy Toe Legging,96,"Your new BFF — every woman deserves a pair, or two, for that instant joy that will make you want to get on your tippy toes. You’re all leg in this super slimming legging.  Look sleek & sexy in any pose you strike.<br></br>

Named The #1 Opaque Yoga Leggings according to Rank & Style and Refinery29.",1,yoga apparel
RJPCRP.IBLU.IBLU.IBLU-2,Run Jump &rsquo;n Play Crop-India Blue-2,88,RJP Crop in India Blue.,0,yoga apparel
RJPCRP.IBLU.IBLU.IBLU-4,Run Jump &rsquo;n Play Crop-India Blue-4,88,"RJP Crop in India Blue.
",0,yoga apparel
