old_sku,new_sku
MTNK.OLVN.MOLVN.GOLD-XXL,MNTNK.OLVN.MOLVN.GOLD-XXL
MTNK.RDHR.RDHR.GOLD-L,MNTNK.RDHR.RDHR.GOLD-L
MTNK.RDHR.RDHR.GOLD-M,MNTNK.RDHR.RDHR.GOLD-M
MTNK.RDHR.RDHR.GOLD-S,MNTNK.RDHR.RDHR.GOLD-S
MTNK.RDHR.RDHR.GOLD-XL,MNTNK.RDHR.RDHR.GOLD-XL
MTNK.RDHR.RDHR.GOLD-XXL,MNTNK.RDHR.RDHR.GOLD-XXL
MRB.RUD.RUD.RUD-10,MRB.RDHR.RDHR.RDHR-10
MRB.RUD.RUD.RUD-12,MRB.RDHR.RDHR.RDHR-12
MRB.RUD.RUD.RUD-2,MRB.RDHR.RDHR.RDHR-2
MRB.RUD.RUD.RUD-4,MRB.RDHR.RDHR.RDHR-4
MRB.RUD.RUD.RUD-6,MRB.RDHR.RDHR.RDHR-6
MRB.RUD.RUD.RUD-8,MRB.RDHR.RDHR.RDHR-8
RJPCRP.C6T.C6T.C6T-10,RJTCRP.C6.C6.C6-10
RJPCRP.C6T.C6T.C6T-12,RJTCRP.C6.C6.C6-12
RJPCRP.C6T.C6T.C6T-2,RJTCRP.C6.C6.C6-2
RJPCRP.C6T.C6T.C6T-4,RJTCRP.C6.C6.C6-4
RJPCRP.C6T.C6T.C6T-6,RJTCRP.C6.C6.C6-6
RJPCRP.C6T.C6T.C6T-8,RJTCRP.C6.C6.C6-8
RJCRP.MIDB.MIDB.MIDB-10,RJPCRP.MIDB.MIDB.MIDB-10
RJCRP.MIDB.MIDB.MIDB-12,RJPCRP.MIDB.MIDB.MIDB-12
RJCRP.MIDB.MIDB.MIDB-2,RJPCRP.MIDB.MIDB.MIDB-2
RJCRP.MIDB.MIDB.MIDB-4,RJPCRP.MIDB.MIDB.MIDB-4
RJCRP.MIDB.MIDB.MIDB-6,RJPCRP.MIDB.MIDB.MIDB-6
RJCRP.MIDB.MIDB.MIDB-8,RJPCRP.MIDB.MIDB.MIDB-8
SNDYT.SMOLVN.OLVN.OLVN-L,SNDYT.MOLVN.OLVN.OLVN-L
SNDYT.SMOLVN.OLVN.OLVN-M,SNDYT.MOLVN.OLVN.OLVN-M
SNDYT.SMOLVN.OLVN.OLVN-S,SNDYT.MOLVN.OLVN.OLVN-S
SNDYT.SMOLVN.OLVN.OLVN-XL,SNDYT.MOLVN.OLVN.OLVN-XL
SNDYT.SMOLVN.OLVN.OLVN-XXL,SNDYT.MOLVN.OLVN.OLVN-XXL
SLMSH.BBLU.BBLU.BBLU-10,SWSH.BBLU.BBLU.BBLU-10
